application_id,timestamp,applicant_age,annual_income,employment_type,employer_name,requested_amount,loan_purpose,loan_purpose_text,id_document_filename,device_id,ip_hash,session_duration_seconds,mouse_movement_events,form_paste_count,applications_from_device_last_24h,applications_from_ip_last_24h,income_employer_consistency_score,identity_consistency_score,is_fraud,fraud_type
8b722dc6-0a27-414c-a434-367bd653dc0c,2026-05-03 04:15:10,42,15000.0,unemployed,NOT_EMPLOYED,4200.0,education,Covering my daughter's first-semester tuition and textbooks.,,b860da770f9d541c,5ac5b796940beb8e,158,233,1,1,1,0.779,0.751,False,
5218b0d9-627b-4528-8e91-e77cfbfc914b,2026-05-03 04:15:23,27,30307.63,salaried,Cole PLC,6300.0,debt_consolidation,Rolling two personal loans and a card balance into a single payment.,,62dbd07ab4f06cd1,3003e0cabafac782,332,16,1,1,1,0.496,0.855,False,
abbf5e74-2b79-4a94-b6bc-55601a87d055,2026-05-03 05:19:14,39,22333.87,salaried,Lam-Deleon,9200.0,debt_consolidation,Refinancing card debt at a lower rate to stop the interest snowballing.,,8e85c0377fb1a643,1487b6660e64cb1f,101,120,2,1,1,0.611,0.93,False,
deb9ce22-7567-4ec5-a5f1-7dade37cdabe,2026-05-03 05:35:20,39,33486.28,gig_worker,Rangel-Crawford,11100.0,home_improvement,Repairing storm damage to the back deck and the fence line.,,b94ad41fd7bb9c72,8901add4e58a7d3f,144,65,0,1,1,0.851,0.889,False,
f098df71-a991-4b9d-b5de-5204a4204535,2026-05-03 06:11:22,52,28925.62,gig_worker,Herrera LLC,8500.0,other,Moving costs and a security deposit for a new apartment.,,6ee989b010403bff,fa52a50d3b7bfa6a,56,146,0,1,1,0.6,0.75,False,
d291a745-47db-4845-964c-ca156ee2b72f,2026-05-03 06:13:20,54,57626.69,salaried,Gould-Foster,8500.0,debt_consolidation,Combining my outstanding debts so I only track one due date.,,e4acd9bf1c37467e,83ce76204a266b9a,138,229,0,1,1,0.544,0.584,False,
91318699-b8c7-41fa-911e-5791e925a615,2026-05-03 06:34:40,18,93075.74,self_employed,Ward-Wright,36900.0,business,Upgrading the point-of-sale system across both storefronts.,,6ad9aac3bd0be27d,42180aec35924be5,206,234,0,1,1,0.964,0.727,False,
4a84391c-c7dc-4728-b60a-dd17900394e0,2026-05-03 07:19:02,20,250000.0,salaried,Ware-Fuentes,50000.0,debt_consolidation,Purchasing commercial baking equipment for the shop.,,5eff0b22367b000f,ddd5670387c3e654,51,190,2,1,1,0.098,0.607,True,income_mismatch
a9a84e1b-374c-49d5-a6ad-19a3ddaf78f6,2026-05-03 07:25:37,22,42273.89,salaried,Mccoy PLC,2300.0,debt_consolidation,Consolidating three credit cards into one fixed monthly payment.,,269c478b3edaa3f6,2a8f0420efcdd921,92,204,0,1,1,0.718,0.574,False,
bb17b04c-1267-49a6-97f5-ab55f682aabc,2026-05-03 07:28:31,43,28323.96,salaried,Lee and Sons,5500.0,education,Trade school tuition for HVAC certification starting in the fall.,,194b040ca7e83084,ab4181c786940d72,187,204,0,1,1,0.523,0.859,False,
9fb12a07-36ec-49a8-b050-7f4fac3c6700,2026-05-03 07:30:30,55,46471.98,gig_worker,"Garrison, Roberts and Thomas",11200.0,home_improvement,Replacing the roof before the winter rains get in.,,184fa50ebd61791b,abc1bde6e934e3d4,88,300,0,1,1,0.517,0.448,False,
30d71fe6-58c5-4a0c-9d17-53281472c021,2026-05-03 07:54:49,33,81836.75,salaried,"Beck, Brown and Miles",5500.0,debt_consolidation,Combining my outstanding debts so I only track one due date.,,2b9075d113d24479,6687237cb27f3fba,183,136,0,1,1,0.732,0.683,False,
c799228a-ae3a-42cd-8c84-0eabb787f893,2026-05-03 07:59:47,38,33074.44,gig_worker,Serrano Inc,9800.0,education,Enrolling in a six-month software bootcamp to change careers.,,ab9ee490cf8d8f30,921cb00615072e61,163,207,1,1,1,0.869,0.897,False,
964dbef8-4479-4501-a802-d755d9667cf7,2026-05-03 08:05:29,55,71398.19,self_employed,Davis-Joseph,30600.0,debt_consolidation,Need to clear revolving balances before the promotional rate expires.,,70696779df6bdd4f,1e2e1cb8a97fd0b2,147,111,0,1,1,0.717,0.745,False,
4360b15f-856c-43b5-ae44-01516e427413,2026-05-03 08:14:11,19,79766.57,salaried,"Clements, Pena and Singh",7000.0,debt_consolidation,Need to clear revolving balances before the promotional rate expires.,id_4360b15f856c.png,3aa7939748dd1488,c6e03dde8a49981a,224,116,1,1,1,0.556,0.606,False,
44d8615d-7250-46b9-9edf-32d3beac2528,2026-05-03 08:23:11,42,27959.55,salaried,Waters-Owens,14600.0,other,Covering legal fees for an ongoing family matter.,,f10f10dd007d812c,aabae60f2e9c9cd3,299,186,1,1,1,0.738,0.788,False,
4a7a4011-2fea-4485-b2c8-b3940701df2a,2026-05-03 08:26:08,53,111516.23,salaried,Ray Group,50000.0,debt_consolidation,Rolling two personal loans and a card balance into a single payment.,,102c8ff98f09dc06,f4f3970e3c8ff625,202,180,1,1,1,0.41,0.74,False,
19456da4-e043-4c14-b14c-867014d445d5,2026-05-03 08:46:17,33,43121.35,gig_worker,Fisher-Hayden,8000.0,home_improvement,The kitchen still has original 1980s wiring and needs a full rewire.,,2b0f27dde673888f,a4a71f9fbffbdd5c,220,85,0,1,1,0.715,0.56,False,
79c2a6a4-9755-4418-b036-ad1ca746fcdd,2026-05-03 09:08:44,38,21945.38,self_employed,"Yates, Long and Ross",7500.0,home_improvement,Adding a second bathroom now that both kids are teenagers.,,60f78354ed37283a,e671305bf46b6ff2,292,115,0,1,1,0.77,0.845,False,
023f1f42-3f2d-468d-8dea-4ba70497afc3,2026-05-03 09:12:20,52,41046.34,salaried,"Barnes, Sherman and Hernandez",9600.0,medical,Covering the deductible for a knee replacement scheduled next month.,,f40875b1d5a0f0fa,c33aed507db655e7,83,139,1,1,1,0.812,0.894,False,
2d905ca6-e413-4370-a1ae-cf16f0aabdc2,2026-05-03 09:20:11,43,250000.0,salaried,"Lewis, Miller and Barnes",50000.0,other,Emergency repairs after a pipe burst in the basement.,,02d297a107d49b78,72f6e90a5e6d345e,133,179,0,1,1,0.699,0.695,False,
